
대창, 1kg
당면, 200g
깻잎, 30장
양배추, 200g
양파, 240g
당근, 100g
대파, 80g
청양고추, 2개
홍고추, 2개
후추, 1티스푼
생강술, 3스푼
참기름, 약간
통깨, 약간
식용유, 약간
밀가루, 곱창 세척용
식초, 양배추 세척용
생강, 30g
된장, 1스푼
통후추, 1티스푼
커피, 1티스푼
월계수잎, 7장
소주, 4스푼
물, 1.2L
고춧가루, 4스푼
다진마늘, 1스푼
진간장, 60g
설탕, 1스푼
물엿, 4스푼
맛술, 4스푼
다시다, 1티스푼
미원, 1/2티스푼
참기름, 1/2스푼
돼지대창, 500g
돼지막창, 500g
소주, 적정량
밀가루, 적정량
양파, 1개
깻잎, 10장
마늘, 적정량
월계수, 2잎
통후추, 1티스푼
순대, 적정량
카레가루, 1티스푼
고추장, 1티스푼
고추가루, 4티스푼
청주, 2티스푼
간장, 2티스푼
설탕, 2티스푼
소금, 기호에 맞게
들깨가루, 2티스푼
물, 3티스푼
파, 적정량
순대, 500g
고추장, 크게 1스푼(작게 2스푼)
간장, 2스푼
고춧가루, 2스푼
설탕, 2티스푼
참기름, 1스푼
소주 또는 맛술, 5스푼
다진마늘, 1스푼
식용유, 1스푼
양파, 한줌
양배추, 한줌
깻잎, 한줌
참깨 또는 들깻가루, 적당량
떡복이,500g
얇은 사각어묵,3장
대파,1대
식용유,2
고운고춧가루,2
고추장,3
진간장,2
설탕,3
카레가루,0.3~0.5
,
밀떡,400g
사각 어묵,2장
계란,2개
고춧가루,2큰술
설탕,2큰술
진간장,2큰술
물엿,3큰술
다시다,1작은술
대파,1/2개
쌀떡,400g
밀가루떡,400g
사각어묵,160g
양배추,160g
대파,240g
물,1L
삶은달걀,3개
고추장,80g
진간장,50g
고운고춧가루,30g
굵은고춧가루,20g
황설탕,70g
,
떡볶이떡,250g
대파,1대
사각어묵,2장
깻잎,5장
고추장,2스푼(50g)
양조간장,2스푼(20g)
설탕,2스푼(28g)
고춧가루,1스푼(7g)
식용유,2스푼
후추가루,4꼬집
우동,1개
밀떡,400g
어묵,3장
물,1리터
청양고추,2개
양파,1/4개
대파,1대
,
,
멸치,반줌
식용유,2스푼
고추장,3스푼
고운 고춧가루,2스푼
진간장,3스푼
설탕,3스푼
찹쌀가루,1스푼
물엿,2스푼
굴소스,1/2스푼
- 라면, 1봉지
- 떡볶이 떡, 6개
- 어묵, 1장
- 대파, 한줌
- 양배추, 한줌
- 고추가루, 1스푼
- 간장, 1스푼
- 설탕, 1스푼
- 고추장, 1스푼
- 물엿 또는 꿀, 1스푼
- 라면스프, 0.5스푼
- 물, 550ml
순한맛라면, 1개
대파, 약 1/3대(30g)
정수물, 1과 1/2컵(270g)
황설탕, 1큰술(12g)
고추장, 1큰술(20g)
라면,1봉
어묵,1장
떡국떡,10개
중간 대파,1개
양배추,없음
양파,없음
건더기스프,1개
물,400~450ml
고추장,1봉긋
진간장,1
라면스프,1/2
고춧가루,1
원당,2깍아서
마지막 후추,없음
깨,없음
라면,2개
물,700~750ml
진간장,1.5
고추장,2
라면스프,반개
원당,2.5
고춧가루,2
진라면, 1개
대파, 1대
어묵, 2장
밀떡, 취향대로
물, 700ml
고추장, 듬뿍 1T
설탕, 1.5T
간장, 1T
식용유, 적당량
마늘종,300g
건새우,50g
생수,1/4컵(50ml)
소금,1작은 술
,
,
설탕,1큰 술
간장,2큰 술
식용유,2큰 술
,
통깨,1큰술
깻가루,약간
마늘쫑,150g
마른새우,50g
식용유,2Tbs
간장,1Tbs
설탕,½Tbs
맛술,1Tbs
참기름,1Tbs
통꺠,1Tbs
소금,한꼬집
마늘쫑,300g
건새우,40g
진간장,3스푼
꿀,1.5스푼
식용유,1.5스푼
들기름,1.5스푼
마늘종, 200g
소금, 1T
고추장, 2T
고춧가루, 4T
진간장, 2T
매실청, 1T
물엿, 4T
물, 3T
식용유, 1T
통깨, 2T
참기름, 0.5T
마늘종1단, 600g
잔멸치, 100g
미림, 2T
진간장, 1T
참치액, 0.5T
미림, 1T
올리고당, 2T
식용유, 3T
다진마늘, 1T
마늘종,600g
잔멸치,100g
미림(멸치볶음용),2T
진간장,1T
참치액,0.5T
미림,1T
올리고당,2T
식용유,3T
