name,category
꿩불고기,구이류
닭갈비,구이류
닭꼬치,구이류
더덕구이,구이류
돼지갈비,구이류
불고기,구이류
붕장어소금구이,구이류
소양념갈비구이,구이류
양념왕갈비,구이류
양념장어구이,구이류
임연수구이,구이류
햄버그스테이크,구이류
황태구이,구이류
훈제오리,구이류
게국지,국 및 탕류
곰치국,국 및 탕류
굴국밥,국 및 탕류
김치국,국 및 탕류
떡만둣국,국 및 탕류
만둣국,국 및 탕류
맑은감자국,국 및 탕류
매생이국,국 및 탕류
무된장국,국 및 탕류
미소된장국,국 및 탕류
바지락조개국,국 및 탕류
뼈다귀해장국,국 및 탕류
선지해장국,국 및 탕류
소고기무국,국 및 탕류
시래기된장국,국 및 탕류
올갱이국,국 및 탕류
우거지해장국,국 및 탕류
우렁된장국,국 및 탕류
홍합미역국,국 및 탕류
황태해장국,국 및 탕류
고추잡채,볶음류
난자완스,볶음류
도토리묵말이,기타
라조기,튀김류
물회,회류
생선물회,회류
소고기샤브샤브,찌개 및 전골류
오징어순대,찜류
초당순두부,국 및 탕류
해파리냉채,생채및 무침류
고들빼기,김치류
열무얼갈이김치,김치류
미나리나물,숙채류
취나물,숙채류
경단,곡류 및 서류
기피편,곡류 및 서류
녹두시루떡,곡류 및 서류
메밀전병,곡류 및 서류
무지개떡,곡류 및 서류
송편,곡류 및 서류
수수부꾸미,곡류 및 서류
수수팥떡,곡류 및 서류
시루떡,곡류 및 서류
쑥떡,곡류 및 서류
절편,곡류 및 서류
찹쌀떡,곡류 및 서류
간자장,면 및 만두류
굴짬뽕,면 및 만두류
기스면,면 및 만두류
김치라면,면 및 만두류
김치우동,면 및 만두류
냉김치말이국수,면 및 만두류
닭칼국수,면 및 만두류
둘깨칼국수,면 및 만두류
막국수,면 및 만두류
삼선우동,면 및 만두류
삼선자장면,면 및 만두류
삼선짬뽕,면 및 만두류
쌀국수,면 및 만두류
열무김치국수,면 및 만두류
열무냉면,면 및 만두류
오일소스스파게티,면 및 만두류
올갱이국수,면 및 만두류
우동,면 및 만두류
울면,면 및 만두류
자장면,면 및 만두류
짬뽕라면,면 및 만두류
치즈라면,면 및 만두류
크림소스스파게티,면 및 만두류
토마토소스스파게티,면 및 만두류
해물칼국수,면 및 만두류
해물크림소스스파게티,면 및 만두류
해물토마토소스스파게티,면 및 만두류
골뱅이무침,생채및 무침류
노각무침,생채및 무침류
단무지무침,생채및 무침류
달래나물무침,생채및 무침류
더덕무침,생채및 무침류
도토리묵,기타
밴댕이무침,생채및 무침류
서대회무침,생채및 무침류
쑥갓나물무침,생채및 무침류
쥐치채,생채및 무침류
청포묵무침,생채및 무침류
탕평채,생채및 무침류
홍어무침,생채및 무침류
고추장불고기삼각김밥,밥류
곤드레나물밥,밥류
국밥,밥류
농어초밥,밥류
돼지국밥,밥류
류산슬덮밥,밥류
멍게비빔밥,밥류
멸치주먹밥,밥류
묵밥,밥류
문어초밥,밥류
비빔밥,밥류
삼선볶음밥,밥류
새우초밥,밥류
새우튀김롤,밥류
샐러드김밥,밥류
생선초밥,밥류
소고기국밥,밥류
소고기김밥,밥류
송이덮밥,밥류
숯불갈비삼각김밥,밥류
약초비빔밥,밥류
연어롤,밥류
연어초밥,밥류
오곡밥,밥류
자장밥,밥류
잡탕밥,밥류
장어덮밥,밥류
장어초밥,밥류
참치덮밥,밥류
참치마요네즈삼각김밥,밥류
충무김밥,밥류
캘리포니아롤,밥류
한치초밥,밥류
해물덮밥,밥류
해물볶음밥,밥류
회덮밥,밥류
깻잎나물볶음,볶음류
돼지고기볶음,볶음류
돼지껍데기볶음,볶음류
두부김치,볶음류
머위나물볶음,볶음류
멸치풋고추볶음,볶음류
소세지볶음,볶음류
순대볶음,볶음류
양송이버섯볶음,볶음류
오삼불고기,볶음류
주꾸미볶음,볶음류
표고버섯볶음,볶음류
해물볶음,볶음류
곰보빵,빵류
만주,빵류
버터크림빵,빵류
불고기피자,빵류
참치샌드위치,빵류
찹쌀도우넛,빵류
채소고로케,빵류
초콜릿케이크,빵류
치즈케이크,빵류
치즈피자,빵류
페이스트리빵,빵류
페퍼로니피자,빵류
포테이토피자,빵류
수정과,음료 및 차류
식혜,음료 및 차류
간장마늘쫑장아찌,장아찌 및 절임류
고추장마늘쫑장아찌,장아찌 및 절임류
매실장아찌,장아찌 및 절임류
무장아찌,장아찌 및 절임류
낙지꼬지,전.적 및 부침류
소고기산적,전.적 및 부침류
소라산적,전.적 및 부침류
오징어산적,전.적 및 부침류
홍합산적,전.적 및 부침류
가자미전,전.적 및 부침류
고추전,전.적 및 부침류
굴전,전.적 및 부침류
깻잎전,전.적 및 부침류
녹두빈대떡,전.적 및 부침류
동그랑땡,전.적 및 부침류
동태전,전.적 및 부침류
두부전,전.적 및 부침류
미나리전,전.적 및 부침류
배추전,전.적 및 부침류
버섯전,전.적 및 부침류
야채전,전.적 및 부침류
파전,전.적 및 부침류
햄부침,전.적 및 부침류
호박부침개,전.적 및 부침류
호박전,전.적 및 부침류
화양적,전.적 및 부침류
가자미조림,조림류
고추조림,조림류
동태조림,조림류
돼지고기메추리알장조림,조림류
북어조림,조림류
소고기메추리알장조림,조림류
조기조림,조림류
게살죽,죽 및 스프류
깨죽,죽 및 스프류
백합죽,죽 및 스프류
소고기버섯죽,죽 및 스프류
어죽,죽 및 스프류
잣죽,죽 및 스프류
참치죽,죽 및 스프류
고등어찌개,찌개 및 전골류
김치찌개,찌개 및 전골류
꽁치찌개,찌개 및 전골류
두부전골,찌개 및 전골류
버섯찌개,찌개 및 전골류
부대찌개,찌개 및 전골류
새우젓두부찌개,찌개 및 전골류
소곱창전골,찌개 및 전골류
햄김치찌개,찌개 및 전골류
호박찌개,찌개 및 전골류
대구찜,찜류
동태찜,찜류
돼지등갈비찜,찜류
돼지머리고기,찜류
매운갈비찜,찜류
북어찜,찜류
붕어찜,찜류
소갈비찜,찜류
순대,찜류
아구찜,찜류
안동찜닭,찜류
조기찜,찜류
참꼬막,찜류
해물찜,찜류
곰탕,국 및 탕류
광어매운탕,국 및 탕류
낙지탕,국 및 탕류
대구매운탕,국 및 탕류
대구지리탕,국 및 탕류
메기매운탕,국 및 탕류
복지리탕,국 및 탕류
소탕,국 및 탕류
아구탕,국 및 탕류
어탕,국 및 탕류
연포탕,국 및 탕류
우럭매운탕,국 및 탕류
전복탕,국 및 탕류
조기매운탕,국 및 탕류
짱뚱어탕,국 및 탕류
추어탕,국 및 탕류
해물탕,국 및 탕류
고구마맛탕,튀김류
고구마튀김,튀김류
고추튀김,튀김류
닭튀김,튀김류
등심돈가스,튀김류
모래집튀김,튀김류
미꾸라지튀김,튀김류
생선까스,튀김류
안심돈가스,튀김류
양념치킨,튀김류
쥐포튀김,튀김류
치즈돈가스,튀김류
치킨까스,튀김류
대구포,포류
매작과,과자류
산자,과자류
송화다식,과자류
약과,과자류
유과,과자류
가래떡,곡류 및 서류
깨송편,곡류 및 서류
꿀떡,곡류 및 서류
모듬찰떡,곡류 및 서류
백설기,곡류 및 서류
쑥절편,곡류 및 서류
약식,곡류 및 서류
인절미,곡류 및 서류
증편,곡류 및 서류
찐감자,찜류
찐고구마,찜류
찐옥수수,찜류
참깨경단,곡류 및 서류
팥시루떡,곡류 및 서류
팥찹쌀떡,곡류 및 서류
가자미구이,구이류
간장양념닭다리구이,구이류
갈치구이,구이류
고등어구이,구이류
고등어석쇠구이,구이류
굴비구이,구이류
꽁치구이,구이류
닭고기대파꼬치구이,구이류
닭구이,구이류
닭발구이,구이류
돼지갈비구이,구이류
돼지고기산적,구이류
돼지불고기,구이류
등심스테이크,구이류
런천미트구이,구이류
뱅어포구이,구이류
버섯구이,구이류
삼겹살고추장구이,구이류
삼겹살구이,구이류
삼치구이,구이류
새송이버섯구이,구이류
새우구이,구이류
쇠갈비구이,구이류
쇠곱창구이,구이류
쇠불고기,구이류
안심스테이크,구이류
오리고기구이,구이류
오리불고기,구이류
장어고추장구이,구이류
조기구이,구이류
조미김,구이류
쥐포구이,구이류
참치머리구이,구이류
치킨데리야끼,구이류
키조개구이,구이류
표고버섯구이,구이류
함박스테이크,구이류
햄구이,구이류
갈비탕,국 및 탕류
감자된장국,국 및 탕류
감잣국,국 및 탕류
굴무국,국 및 탕류
근대된장국,국 및 탕류
김치콩나물국,국 및 탕류
김칫국,국 및 탕류
꼬리곰탕,국 및 탕류
냉이된장국,국 및 탕류
달걀국,국 및 탕류
닭개장,국 및 탕류
닭곰탕,국 및 탕류
대합미역국,국 및 탕류
도가니탕,국 및 탕류
동태국,국 및 탕류
메밀묵국,국 및 탕류
무시래기된장국,국 및 탕류
미역국,국 및 탕류
미역냉국,국 및 탕류
미역된장국,국 및 탕류
미역오이냉국,국 및 탕류
배추된장국,국 및 탕류
북엇국,국 및 탕류
뼈해장국,국 및 탕류
사골국,국 및 탕류
삼계탕,국 및 탕류
새우미역국,국 및 탕류
새우탕,국 및 탕류
선짓국,국 및 탕류
설렁탕,국 및 탕류
쇠고기무국,국 및 탕류
쇠고기미역국,국 및 탕류
쇠고기배춧국,국 및 탕류
순댓국,국 및 탕류
순두부달걀탕,국 및 탕류
시금치된장국,국 및 탕류
쑥된장국,국 및 탕류
아욱된장국,국 및 탕류
애호박된장국,국 및 탕류
어묵국,국 및 탕류
얼갈이배춧국,국 및 탕류
오이냉국,국 및 탕류
오징어국,국 및 탕류
우거지곰탕,국 및 탕류
우거지된장국,국 및 탕류
육개장,국 및 탕류
일본된장국,국 및 탕류
재첩국,국 및 탕류
조갯국,국 및 탕류
콩나물국,국 및 탕류
콩나물된장국,국 및 탕류
토란국,국 및 탕류
해물된장국,국 및 탕류
호박잎된장국,국 및 탕류
홍합무국,국 및 탕류
갓김치,김치류
고들빼기김치,김치류
깍두기,김치류
깻잎김치,김치류
나박김치,김치류
돌나물물김치,김치류
동치미,김치류
배추김치,김치류
백김치,김치류
보쌈김치,김치류
부추김치,김치류
얼갈이배추김치,김치류
열무김치,김치류
오이김치,김치류
오이소박이,김치류
총각김치,김치류
파김치,김치류
가죽나물무침,생채및 무침류
가지나물무침,숙채류
건취나물무침,숙채류
고구마줄기나물무침,숙채류
고사리나물무침,숙채류
고춧잎나물무침,숙채류
깻잎나물무침,숙채류
냉이나물무침,숙채류
도라지나물무침,숙채류
머위대나물무침,숙채류
무나물무침,숙채류
방풍나물무침,숙채류
배추나물무침,숙채류
비름나물무침,숙채류
숙주나물무침,숙채류
시금치나물무침,숙채류
시래기나물무침,숙채류
씀바귀나물무침,숙채류
애호박볶음,볶음류
열무나물무침,숙채류
열무된장나물무침,숙채류
오이나물무침,숙채류
유채나물무침,생채및 무침류
참나물무침,생채및 무침류
취나물된장무침,생채및 무침류
콩나물고춧가루무침,생채및 무침류
콩나물무침,생채및 무침류
토란대나물무침,숙채류
톳나물무침,생채및 무침류
간짜장,면 및 만두류
고기만두,면 및 만두류
군만두,면 및 만두류
김치만두,면 및 만두류
달걀라면,면 및 만두류
떡국,국 및 탕류
떡라면,면 및 만두류
떡만두국,국 및 탕류
라면,면 및 만두류
만두,면 및 만두류
메밀국수,면 및 만두류
물냉면,면 및 만두류
물만두,면 및 만두류
미트볼토마토스파게티,면 및 만두류
바지락칼국수,면 및 만두류
볶음우동,면 및 만두류
비빔국수,면 및 만두류
비빔냉면,면 및 만두류
사골만두국,국 및 탕류
수제비,면 및 만두류
월남쌈,기타
잔치국수,면 및 만두류
쟁반국수,면 및 만두류
짜장면,면 및 만두류
짬뽕,면 및 만두류
쫄면,면 및 만두류
칼국수,면 및 만두류
콩국수,면 및 만두류
회냉면,면 및 만두류
검정콩밥,밥류
