Menu,Category,괄호
LA갈비찜,한식,['(LA galbi jjim)']
LA갈비구이,한식,['(LA galbi gui)']
(빨간)동치미 dongchimi),한식,['((ppalgan)']
6가지요리와식사,한식,['(6 gaji yori wa siksa)']
(주)동강시스타 한식당,한식,['()']
국밥,한식,['(gukbap)']
공주국밥,한식,['(Gongju gukbap)']
굴국밥,한식,['(gul gukbap)']
김치국밥,한식,['(kimchi gukbap)']
김치버섯국밥,한식,['(kimchi beoseot gukbap)']
고추장제육불판덮밥,한식,['(gochujang jeyuk bulpan deopbap)']
김치덮밥,한식,['(kimchi deopbap)']
김치볶음덮밥,한식,['(kimchi bokkeum deopbap)']
김치제육덮밥,한식,['(kimchi jeyuk deopbap)']
갈릭불고기볶음밥,한식,['(garlic bulgogi bokkeumbap)']
김치볶음밥,한식,['(kimchi bokkeumbap)']
가마솥굴비빔밥,한식,['(gamasot gul bibimbap)']
가마솥날치알비빔밥,한식,['(gamasot nalchial bibimbap)']
가오리회비빔밥,한식,['(gaori hoe bibimbap)']
갈비비빔밥,한식,['(galbi bibimbap)']
곱돌비빔밥,한식,['(gopdol bibimbap)']
김치주물럭비빔밥,한식,['(kimchi jumulleok bibimbap)']
김치치즈돌솥비빔밥,한식,['(kimchi cheese dolsot bibimbap)']
굴비빔밥,한식,['(gul bibimbap)']
가마솥밥,한식,['(gamasot bap)']
곤드레돌솥밥,한식,['(gondeure dolsotbap)']
굴버섯돌솥밥,한식,['(gul beoseot dolsotbap)']
굴해초돌솥밥,한식,['(gul haecho dolsotbap)']
김치날치알밥,한식,['(kimchi nalchial bap)']
김치알밥,한식,['(kimchi al bap)']
고향보리밥,한식,['(gohyang bori bap)']
곤드레나물밥,한식,['(gondeure namul bap)']
곤드레밥,한식,['(gondeure bap)']
고추잡채밥,한식,['(gochu japchae bap)']
굴밥,한식,['(gul bap)']
기내식비빔밥,한식,['(ginaesik bibimbap)']
공기밥,한식,['(gonggibap)']
괴산올갱이국밥,한식,['(Goesan olgaengi gukbap)']
고래밥상,한식,['()']
감자바우곤드레비빔밥,한식,['(Gamjabau gondeure bibimbap)']
김치야채철판볶음밥,한식,['(kimchi yachae cheolpan bokkeumbap)']
김치햄야채볶음밥,한식,['(kimchi ham yachae bokkeumbap)']
강냉이밥,한식,['(gangnaengi bap)']
강된장열무비빔밥,한식,['(gangdoenjang yeolmu bibimbap)']
궁중비빔밥,한식,['(gungjung bibimbap)']
꼬막비빔밥,한식,['(kkomak bibimbap)']
계절비빔밥,한식,['(gyejeol bibimbap)']
곤드레돌솥비빔밥,한식,['(gondeure dolsot bibimbap)']
게살날치알볶음밥,한식,['(gesal nalchial bokkeumbap)']
게살덮밥,한식,['(gesal deopbap)']
게장볶음밥,한식,['(gejang bokkeumbap)']
계란밥,한식,['(gyeran bap)']
계란새우볶음밥,한식,['(gyeran saeu bokkeumbap)']
계절덮밥,한식,['(gyejeol deopbap)']
감자돌솥밥,한식,['(gamja dolsotbap)']
감자볶음밥,한식,['(gamja bokkeumbap)']
게뚜껑볶음밥,한식,['(gettukkeong bokkeumbap)']
게볶음밥,한식,['(ge bokkeumbap)']
간장새우볶음밥,한식,['(ganjang saeu bokkeumbap)']
가시오가피돌솥밥,한식,['(gasiogapi dolsot bap)']
가자미전복덮밥,한식,['(gajami jeonbok deopbap)']
가자미회덮밥,한식,['(gajami hoe deopbap)']
간소김치제육덮밥,한식,['(ganso kimchi jeyuk deopbap)']
김치베이컨볶음밥,한식,['(kimchi bacon bokkeumbap)']
깍두기볶음밥,한식,['(kkakdugi bokkeumbap)']
광어회덮밥,한식,['(gwangeo hoe deopbap)']
굴돌솥밥,한식,['(gul dolsot bap)']
곤드레비빔밥,한식,['(gondeure bibimbap)']
곤드레산채양푼비빔밥,한식,['(gondeure sanchae yangpun bibimbap)']
공깃밥,한식,['(gonggi bap)']
고추덮밥,한식,['(gochu deopbap)']
고추잡채덮밥,한식,['(gochu japchae deopbap)']
게살죽,한식,['(gesal juk)']
게살치즈죽,한식,['(gesal cheese juk)']
계절죽,한식,['(gyejeol juk)']
가리비죽,한식,['(garibi juk)']
깨죽,한식,['(kkae juk)']
가자미회냉면,한식,['(gajami hoe naengmyeon)']
꿩냉면,한식,['(kkwong naengmyeon)']
골뱅이소면,한식,['(golbaengi somyeon)']
골뱅이초무침소면,한식,['(golbaengi cho muchim somyeon)']
감자수제비,한식,['(gamja sujebi)']
김치수제비,한식,['(kimchi sujebi)']
김치항아리수제비,한식,['(kimchi hangari sujebi)']
김치잔치국수,한식,['(kimchi janchi guksu)']
감자칼국수,한식,['(gamja kalguksu)']
곰칼국수,한식,['(gom kalguksu)']
굴칼국수,한식,['(gul kalguksu)']
굴해물칼국수,한식,['(gul haemul kalguksu)']
검은콩냉콩국수,한식,['(geomeunkong naeng kongguksu)']
국수,한식,['(guksu)']
김치냉말이국수,한식,['(kimchi naengmari guksu)']
김치면,한식,['(kimchi myeon)']
꿩메밀국수,한식,['(kkwong memil guksu)']
감자옹심이,한식,['(gamja ongsimi)']
골뱅이무침과사리,한식,['(golbaengi muchim gwa sari)']
국수장국,한식,['(guksu jangguk)']
광천숯불구이막국수,한식,['()']
감자만두메밀칼국수,한식,['(gamja mandu memil kalguksu)']
감자옹심이칼국수,한식,['(gamja ongsimi kalguksu)']
김치말이국수,한식,['(kimchi mari guksu)']
계절면,한식,['(gyejeol myeon)']
곤약소면,한식,['(konjac somyeon)']
곤드레물냉면,한식,['(gondeure mul naengmyeon)']
계절쫄면,한식,['(gyejeol jjolmyeon)']
거창사과냉면,한식,['(Geochang sagwa naengmyeon)']
검은콩국수,한식,['(geomeunkong guksu)']
검은콩물냉막국수,한식,['(geomeunkong mul naeng makguksu)']
검정콩수제비,한식,['(geomjeongkong sujebi)']
검정콩콩국수,한식,['(geomjeongkong kongguksu)']
간편잡채,한식,['(ganpyeon japchae)']
감자국수,한식,['(gamja guksu)']
광치막국수,한식,['(Gwangchi makguksu)']
국시,한식,['(guksi)']
굴해물탕면,한식,['(gul haemul tangmyeon)']
곤드레비빔냉면,한식,['(gondeure bibim naengmyeon)']
곤드레육회냉면,한식,['(gondeure yukhoe naengmyeon)']
곰취냉면,한식,['(gomchwi naengmyeon)']
곰취물냉면,한식,['(gomchwi mul naengmyeon)']
곰취비빔냉면,한식,['(gomchwi bibim naengmyeon)']
굴해장국,한식,['(gul haejangguk)']
김치해장국,한식,['(kimchi haejangguk)']
꿩만둣국,한식,['(kkwong mandu guk)']
갈비장국,한식,['(galbi jangguk)']
갈치호박국,한식,['(galchi hobak guk)']
감자국,한식,['(gamja guk)']
곰국,한식,['(gomguk)']
갈비탕,한식,['(galbi tang)']
굴해물삼계탕,한식,['(gul haemul samgyetang)']
곰탕,한식,['(gomtang)']
꼬리곰탕,한식,['(kkori gomtang)']
감자탕,한식,['(gamjatang)']
계절매운탕,한식,['(gyejeol maeuntang)']
꽃게매운탕,한식,['(kkotge maeuntang)']
꽃게해물탕,한식,['(kkotge haemul tang)']
갈낙탕,한식,['(gal nak tang)']
굴탕,한식,['(gul tang)']
꽃게탕,한식,['(kkotge tang)']
꿩백숙,한식,['(kkwong baeksuk)']
계란탕,한식,['(gyeran tang)']
꿩탕,한식,['(kkwong tang)']
고추장 추어탕,한식,['(gochujang chueotang)']
길성이백숙,한식,['()']
고사리 서대탕,한식,['()']
곱창전골(돼지),한식,['()']
꼬탕,한식,['(kkotang)']
꼬깔탕,한식,['(kkokkaltang)']
계절탕,한식,['(gyejeol tang)']
곤드레다슬기해장국,한식,['(gondeure daseulgi haejangguk)']
곤드레된장찌개,한식,['(gondeure doenjang jjigae)']
곤드레등심해장국,한식,['(gondeure deungsim haejangguk)']
게살누룽지탕,한식,['(gesal nurungji tang)']
게탕,한식,['(ge tang)']
고양해신탕,한식,['(Goyang haesintang)']
감자만둣국,한식,['(gamja mandu guk)']
개성만두국,한식,['(Gaeseong mandu guk)']
개성삼계탕,한식,['(Gaeseong samgyetang)']
개성해장국,한식,['(Gaeseong haejangguk)']
감자누룽지탕,한식,['(gamja nurungji tang)']
갈비곰국,한식,['(galbi gomguk)']
갈비낙지매운탕,한식,['(galbi nakji maeuntang)']
갈비버섯육개장,한식,['(galbi beoseot yukgaejang)']
갈비우거지탕,한식,['(galbi ugeoji tang)']
갈비탕),한식,"['(1인분)', '(galbi tang (il in bun)']"
갈치국,한식,['(galchi guk)']
가리비국,한식,['(garibi guk)']
가리비미역국,한식,['(garibi miyeok guk)']
