,SAMPLE_ID,식품코드,식품명,식품대분류,식품상세분류
0,D000006-94-AVG,D000006,꿩불고기,구이류,육류구이
1,D000007-ZZ-AVG,D000007,닭갈비,구이류,육류구이
3,D000009-ZZ-AVG,D000009,닭꼬치,구이류,육류구이
4,D000010-ZZ-AVG,D000010,더덕구이,구이류,채소류구이
5,D000012-95-AVG,D000012,돼지갈비,구이류,육류구이
6,D000016-96-AVG,D000016,불고기,구이류,육류구이
7,D000017-05-AVG,D000017,붕장어소금구이,구이류,어패류구이
8,D000020-ZZ-AVG,D000020,소양념갈비구이,구이류,육류구이
9,D000021-97-AVG,D000021,양념왕갈비,구이류,육류구이
10,D000022-ZZ-AVG,D000022,양념장어구이,구이류,어패류구이
11,D000023-ZZ-AVG,D000023,임연수구이,구이류,어패류구이
12,D000025-ZZ-AVG,D000025,햄버그스테이크,구이류,육류구이
13,D000026-ZZ-AVG,D000026,황태구이,구이류,어패류구이
14,D000027-ZZ-AVG,D000027,훈제오리,구이류,육류구이
15,D000028-68-AVG,D000028,게국지,국 및 탕류,어패류국.탕
16,D000029-98-AVG,D000029,곰치국,국 및 탕류,어패류국.탕
17,D000030-ZZ-AVG,D000030,굴국밥,국 및 탕류,어패류국.탕
18,D000032-ZZ-AVG,D000032,김치국,국 및 탕류,채소류국.탕
19,D000036-ZZ-AVG,D000036,떡만둣국,국 및 탕류,기타 국류
20,D000037-ZZ-AVG,D000037,만둣국,국 및 탕류,기타 국류
21,D000038-ZZ-AVG,D000038,맑은감자국,국 및 탕류,채소류국.탕
22,D000039-99-AVG,D000039,매생이국,국 및 탕류,어패류국.탕
23,D000040-ZZ-AVG,D000040,무된장국,국 및 탕류,채소류국.탕
24,D000041-ZZ-AVG,D000041,미소된장국,국 및 탕류,채소류국.탕
25,D000044-ZZ-AVG,D000044,바지락조개국,국 및 탕류,어패류국.탕
26,D000046-ZZ-AVG,D000046,뼈다귀해장국,국 및 탕류,육류국.탕
27,D000047-ZZ-AVG,D000047,선지해장국,국 및 탕류,육류국.탕
28,D000049-ZZ-AVG,D000049,소고기무국,국 및 탕류,육류국.탕
29,D000054-ZZ-AVG,D000054,시래기된장국,국 및 탕류,채소류국.탕
30,D000060-101-AVG,D000060,올갱이국,국 및 탕류,어패류국.탕
31,D000062-ZZ-AVG,D000062,우거지해장국,국 및 탕류,채소류국.탕
32,D000063-ZZ-AVG,D000063,우렁된장국,국 및 탕류,어패류국.탕
33,D000066-ZZ-AVG,D000066,홍합미역국,국 및 탕류,어패류국.탕
34,D000067-ZZ-AVG,D000067,황태해장국,국 및 탕류,어패류국.탕
35,D000068-ZZ-AVG,D000068,고추잡채,볶음류,기타 볶음류
36,D000070-ZZ-AVG,D000070,난자완스,볶음류,육류볶음
37,D000071-26-AVG,D000071,도토리묵말이,기타,기타
38,D000072-ZZ-AVG,D000072,라조기,튀김류,육류튀김
39,D000074-72-AVG,D000074,물회,회류,회류
40,D000075-ZZ-AVG,D000075,생선물회,회류,회류
41,D000076-ZZ-AVG,D000076,소고기샤브샤브,찌개 및 전골류,육류찌개.전골
42,D000079-39-AVG,D000079,오징어순대,찜류,어패류찜
43,D000081-01-AVG,D000081,초당순두부,국 및 탕류,채소류국.탕
44,D000085-ZZ-AVG,D000085,해파리냉채,생채및 무침류,어패류무침
45,D000087-ZZ-AVG,D000087,고들빼기,김치류,김치
46,D000097-ZZ-AVG,D000097,열무얼갈이김치,김치류,김치
47,D000105-ZZ-AVG,D000105,미나리나물,숙채류,나물.숙채류
48,D000109-ZZ-AVG,D000109,취나물,숙채류,나물.숙채류
49,D000112-ZZ-AVG,D000112,경단(깨),곡류 및 서류,떡류
50,D000113-ZZ-AVG,D000113,경단(콩),곡류 및 서류,떡류
51,D000114-ZZ-AVG,D000114,기피편,곡류 및 서류,떡류
52,D000116-ZZ-AVG,D000116,녹두시루떡,곡류 및 서류,떡류
53,D000117-ZZ-AVG,D000117,메밀전병,곡류 및 서류,곡류 및 서류
54,D000119-ZZ-AVG,D000119,무지개떡,곡류 및 서류,떡류
55,D000121-ZZ-AVG,D000121,송편(깨),곡류 및 서류,떡류
56,D000122-ZZ-AVG,D000122,송편(콩),곡류 및 서류,떡류
57,D000123-ZZ-AVG,D000123,수수부꾸미,곡류 및 서류,곡류 및 서류
58,D000124-ZZ-AVG,D000124,수수팥떡,곡류 및 서류,떡류
59,D000125-ZZ-AVG,D000125,시루떡,곡류 및 서류,떡류
60,D000126-ZZ-AVG,D000126,쑥떡,곡류 및 서류,떡류
61,D000129-ZZ-AVG,D000129,절편,곡류 및 서류,떡류
62,D000131-ZZ-AVG,D000131,찹쌀떡,곡류 및 서류,떡류
63,D000136-ZZ-AVG,D000136,간자장,면 및 만두류,중식면류
64,D000137-ZZ-AVG,D000137,굴짬뽕,면 및 만두류,중식면류
65,D000138-ZZ-AVG,D000138,기스면,면 및 만두류,중식면류
66,D000139-ZZ-AVG,D000139,김치라면,면 및 만두류,라면류
67,D000140-ZZ-AVG,D000140,김치우동,면 및 만두류,중식면류
68,D000141-ZZ-AVG,D000141,냉김치말이국수,면 및 만두류,국수류
69,D000142-ZZ-AVG,D000142,닭칼국수,면 및 만두류,국수류
70,D000143-ZZ-AVG,D000143,둘깨칼국수,면 및 만두류,국수류
71,D000147-102-AVG,D000147,막국수,면 및 만두류,국수류
72,D000152-ZZ-AVG,D000152,삼선우동,면 및 만두류,중식면류
73,D000153-ZZ-AVG,D000153,삼선자장면,면 및 만두류,중식면류
74,D000154-ZZ-AVG,D000154,삼선짬뽕,면 및 만두류,중식면류
75,D000156-ZZ-AVG,D000156,쌀국수,면 및 만두류,국수류
76,D000157-ZZ-AVG,D000157,열무김치국수,면 및 만두류,국수류
77,D000158-ZZ-AVG,D000158,열무냉면,면 및 만두류,중식면류
78,D000159-ZZ-AVG,D000159,오일소스스파게티,면 및 만두류,스파게티류
79,D000160-103-AVG,D000160,올갱이국수,면 및 만두류,국수류
80,D000161-ZZ-AVG,D000161,우동(일식),면 및 만두류,중식면류
81,D000162-ZZ-AVG,D000162,우동(중식),면 및 만두류,중식면류
82,D000163-ZZ-AVG,D000163,울면,면 및 만두류,중식면류
83,D000164-ZZ-AVG,D000164,자장면,면 및 만두류,중식면류
84,D000167-ZZ-AVG,D000167,짬뽕라면,면 및 만두류,라면류
85,D000169-ZZ-AVG,D000169,치즈라면,면 및 만두류,라면류
86,D000171-ZZ-AVG,D000171,크림소스스파게티,면 및 만두류,스파게티류
87,D000172-ZZ-AVG,D000172,토마토소스스파게티,면 및 만두류,스파게티류
88,D000173-ZZ-AVG,D000173,해물칼국수,면 및 만두류,국수류
89,D000174-ZZ-AVG,D000174,해물크림소스스파게티,면 및 만두류,스파게티류
90,D000175-ZZ-AVG,D000175,해물토마토소스스파게티,면 및 만두류,스파게티류
91,D000178-ZZ-AVG,D000178,골뱅이무침,생채및 무침류,어패류무침
92,D000180-ZZ-AVG,D000180,노각무침,생채및 무침류,나물.채소류무침
93,D000181-ZZ-AVG,D000181,단무지무침,생채및 무침류,나물.채소류무침
94,D000182-ZZ-AVG,D000182,달래나물무침,생채및 무침류,나물.채소류무침
95,D000183-ZZ-AVG,D000183,더덕무침,생채및 무침류,나물.채소류무침
96,D000185-ZZ-AVG,D000185,도토리묵,기타,기타
97,D000190-55-AVG,D000190,밴댕이무침,생채및 무침류,어패류무침
98,D000194-45-AVG,D000194,서대회무침,생채및 무침류,어패류무침
