ingredient_name,unit_name,converted_gram
사과,개,200
단호박,개,800
단호박,소량,45
귤,개,100
시금치,뿌리,275
시금치,단,275
고구마,개,100
바나나,개,100
감자,개,110
토마토,개,133
양배추,대,800
양배추,개,800
참외,개,133
오이,개,125
바지락,개,8.33
딸기,개,22.5
양파,개,180
양파,소량,90
동태,토막,95
감,개,150
콩나물,줌,50
숙주,줌,48
홍합,개,50
포도,송이,300
피망,개,50
멸치,줌,50
키위,개,80
느타리버섯,개,14.3
느타리 버섯,개,14.3
오렌지,개,160
꽃게,마리,200
방울토마토,개,11.1
표고버섯,개,12.5
표고 버섯,개,12.5
고추,개,10
양송이버섯,개,12.5
양송이 버섯,개,12.5
꽁치,마리,200
당근,개,130
당근,소량,40
가지,개,150
뱅어포,장,12.5
치즈,장,20
마늘,알,5
마늘,소량,5
애호박,개,275
애호박,소량,45
달걀,개,52.5
달걀,알,52.5
계란,개,52.5
계란,알,52.5
두부,모,380
대추,컵,70
복숭아,개,150
배,개,220
귤,개,100
딸기,개,22.5
감,개,150
레몬,개,150
잣,컵,125
곶감,개,45
호두,컵,80
은행,컵,160
자두,개,40
밤,컵,200
소,컵,200
돼지,컵,200
닭,컵,200
메추리알,개,10
정어리,마리,50
고등어,마리,800
말린 오징어,마리,80
맛살,컵,200
굴,컵,200
가자미,마리,250
낙지,마리,140
북어,마리,150
멸치,컵,50
식용유,T,13
간장,T,18
고춧가루,컵,100
고춧가루,T,15
소금,T,6
소금,적당량,1.5
소금,조금,1.5
된장,T,18
설탕,컵,200
설탕,T,15
참기름,T,15
버터,T,13
밀가루,컵,100
백미,ml,0.8
현미,ml,0.8
쌀,ml,0.8
보리,ml,0.8
밀,ml,0.8
옥수수,ml,0.775
팥,ml,0.825
참깨,ml,0.825
통깨,적당량,3.5
흑임자,ml,0.55
들깨,ml,0.55
쌀가루,ml,0.5
밀가루,ml,0.525
팥가루,ml,0.625
콩가루,ml,0.49
메주,ml,0.475
엿기름,ml,0.575
배추,개,1500
늙은호박,개,3000
생강,개,20
생강,톨,20
생강,알,20
생강,소량,5
무,개,680
열무,단,880
인삼,뿌리,660
대파,대,50
대파,소량,25
쪽파,소량,13
쪽파,적당량,13
밥,공기,210
밥,적당량,100
후추,소량,3
후추,조금,3
후추,적당량,3
후춧가루,적당량,3
설탕,소량,4
액젓,소량,5
식초,소량,4
부추,소량,10
설탕,조금,4
액젓,조금,5
식초,조금,4
부추,조금,10
파슬리가루,적당량,4
버터,적당량,4
올리브유,적당량,9
식용유,적당량,9
참기름,적당량,6
김가루,적당량,9
검은깨,적당량,3.5
